T,P,S,PT,Y,BAI,DBH,H,Hc,SMx,t60,t300,L16,L17
P602,P6,P,SB,1979,0.14417397,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1980,0.114143486,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1981,0.146373085,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1982,0.105306186,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1983,0.052888712,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1984,0.148924058,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1985,0.107128309,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1986,0.129383352,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1987,0.393578728,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1988,0.244529006,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1989,0.270227234,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1990,0,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1991,0.090879992,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1992,0.379130543,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1993,0.315287097,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1994,0.177138702,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1995,0.083148533,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1996,0.239263696,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1997,0.229628432,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1998,0.133979502,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,1999,0.147026536,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2000,0.371524747,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2001,0.427897486,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2002,0.229474494,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2003,0.517231814,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2004,0.821576744,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2005,0.351720147,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
P602,P6,P,SB,2006,0.563265572,4.7,3.2,46.875,55,87,0,2919.41228070175,2327.00657894737
